frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,quat_s,quat_v1,quat_v2,quat_v3,areoid,radius,sclk,sol
SITE,1,-1,-1,0.000,0.000,0.000,1093299.695,4354494.086,18.444627146,18.346169209,77.450885729,-2569.910,5401.22,13656.34,1350.30,3414.09,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,3394507.076,3391937.166,0,-1
ROVER,1,44,-1,0.000,0.000,0.000,1093299.695,4354494.086,18.444627146,18.346169209,77.450885729,-2569.910,5401.22,13656.34,1350.30,3414.09,-9999.000,-9999.000,-9999.000,-9999.000000000,-9999.000000000,-9999.000000000,-9999.000000000,3394507.076,3391937.166,666952977,0
ROVER,1,52,-1,0.000,0.000,0.000,1093299.695,4354494.086,18.444627146,18.346169209,77.450885729,-2569.910,5401.22,13656.34,1350.30,3414.09,-9999.000,-9999.000,-9999.000,-9999.000000000,-9999.000000000,-9999.000000000,-9999.000000000,3394507.076,3391937.166,666957070,0
SITE,2,-1,-1,0.000,0.000,0.000,1093299.695,4354494.086,18.444627146,18.346169209,77.450885729,-2569.910,5401.22,13656.34,1350.30,3414.09,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,3394507.076,3391937.166,667751496,9
SITE,3,-1,-1,0.000,0.000,0.000,1093299.695,4354494.086,18.444627146,18.346169209,77.450885729,-2569.910,5401.22,13656.34,1350.30,3414.09,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,3394507.076,3391937.166,667754529,9
ROVER,3,4,-1,0.000,0.000,0.000,1093299.695,4354494.086,18.444627146,18.346169209,77.450885729,-2569.910,5401.22,13656.34,1350.30,3414.09,-1.226,-0.065,132.863,0.399828880,-0.003754494,-0.010035913,0.916527150,3394507.076,3391937.166,668099171,13
ROVER,3,8,-1,0.000,0.000,0.000,1093299.695,4354494.086,18.444627146,18.346169209,77.450885729,-2569.910,5401.22,13656.34,1350.30,3414.09,-1.255,-0.059,132.876,0.399724600,-0.003904239,-0.010247153,0.916569700,3394507.076,3391937.166,668099186,13
ROVER,3,12,-1,0.000,0.000,0.000,1093299.695,4354494.086,18.444627146,18.346169209,77.450885729,-2569.910,5401.22,13656.34,1350.30,3414.09,-1.259,-0.070,132.870,0.399770860,-0.003835045,-0.010314150,0.916549000,3394507.076,3391937.166,668099342,13
ROVER,3,16,-1,0.000,0.000,0.000,1093299.695,4354494.086,18.444627146,18.346169209,77.450885729,-2569.910,5401.22,13656.34,1350.30,3414.09,-1.218,-0.099,132.856,0.399885200,-0.003456193,-0.010085530,0.916503250,3394507.076,3391937.166,668099350,13
ROVER,3,20,-1,0.000,0.000,0.000,1093299.695,4354494.086,18.444627146,18.346169209,77.450885729,-2569.910,5401.22,13656.34,1350.30,3414.09,-1.171,-0.016,132.932,0.399272440,-0.003950012,-0.009422705,0.916775400,3394507.076,3391937.166,668099510,13
ROVER,3,24,-1,0.000,0.000,0.000,1093299.695,4354494.086,18.444627146,18.346169209,77.450885729,-2569.910,5401.22,13656.34,1350.30,3414.09,-1.220,0.050,132.996,0.398752660,-0.004642136,-0.009590789,0.916996600,3394507.076,3391937.166,668099522,13
ROVER,3,34,-1,-0.592,0.634,-0.004,1093299.103,4354494.720,18.444617166,18.346169209,77.450897013,-2569.906,5403.59,13658.88,1350.90,3414.72,-1.547,1.073,133.171,0.397211880,-0.013953920,-0.008668058,0.917579900,3394507.076,3391937.171,668186728,14
ROVER,3,38,-1,-0.592,0.634,-0.004,1093299.103,4354494.720,18.444617166,18.346169209,77.450897013,-2569.906,5403.59,13658.88,1350.90,3414.72,-1.523,1.069,133.162,0.397283600,-0.013838987,-0.008484938,0.917552300,3394507.076,3391937.171,668186739,14
ROVER,3,44,-1,-1.250,1.336,-0.004,1093298.445,4354495.422,18.444606063,18.346169209,77.450909495,-2569.906,5406.22,13661.69,1351.55,3415.42,-1.715,0.269,132.834,0.400002100,-0.008141161,-0.012771733,0.916389050,3394507.081,3391937.175,668187227,14
ROVER,3,50,-1,-1.911,2.035,-0.016,1093297.784,4354496.121,18.444594908,18.346169209,77.450921922,-2569.894,5408.86,13664.48,1352.22,3416.12,-2.131,0.489,133.643,0.393455330,-0.011243025,-0.015410915,0.919145800,3394507.081,3391937.187,668187325,14
ROVER,3,56,-1,-2.578,2.728,-0.019,1093297.117,4354496.814,18.444583649,18.346169209,77.450934248,-2569.891,5411.53,13667.26,1352.88,3416.81,-2.526,0.546,134.226,0.388716340,-0.012962899,-0.018456856,0.921081360,3394507.078,3391937.187,668187391,14
